AGNO;MES;PREFINAL;PMAX;DIAS;TEMPMAX;TEMPMIN;TEMPMED;TMAXABS;TMINABS
1921;8;;;;31;16,9;24;;
1921;9;;;;26,9;14,9;20,9;;
1921;10;;;;24,5;12,4;18,4;;
1921;11;;;;16,5;5,2;10,8;;
1921;12;;;;13;1,9;7,4;;
1922;1;;;;12,3;1,7;7;;
1922;2;;;;13,9;3;8,4;;
1922;3;;;;13,5;4,2;8,8;;
1922;4;;;;19,4;7,6;13,5;;
1922;5;;;;24,8;12,3;18,6;;
1922;6;;;;25,7;14,3;20;;
1922;7;;;;32,6;18,5;25,6;;
1922;8;;;;32,3;19,2;25,8;;
1922;9;;;;26,2;13,5;19,8;;
1922;10;;;;22,1;12,1;17,1;;
1922;11;;;;16,3;6,7;11,5;;
1922;12;;;;12;2,1;7;;
1923;1;;;;10,8;0,1;5,4;;
1923;2;;;;10,8;0,1;5,4;;
1923;3;;;;17,3;6,7;12;;
1923;5;;;;23,5;11,4;17,4;;
1923;6;;;;24,9;13,1;19;;
1923;7;;;;33,4;18,9;26,2;;
1923;8;;;;34,5;19,8;27,2;;
1923;9;;;;26,4;13,8;20,1;;
1923;10;;;;25,1;12,3;18,7;;
1923;11;;;;14,1;5,5;9,8;;
1923;12;;;;12,1;0,9;6,5;;
1924;1;;;;12,6;3,2;7,9;;
1924;2;;;;10,7;1,4;6;;
1924;3;;;;14,5;5,9;10,2;;
1924;4;;;;19,6;8;13,8;;
1924;5;;;;26,5;13,3;19,9;;
1924;7;;;;33,4;18,9;26,2;;
1924;8;;;;32,2;17,6;24,9;;
1924;9;;;;28,4;15,5;22;;
1924;10;;;;22,5;11,1;16,8;;
1924;11;;;;15,7;5,8;10,8;;
1924;12;;;;12,5;4;8,2;;
1925;1;;;;13,8;1,2;7,5;;
1925;2;;;;12,4;2,2;7,3;;
1925;3;;;;12,4;2,3;7,4;;
1925;4;;;;18,8;6,8;12,8;;
1925;5;;;;21,4;9,5;15,4;;
1925;6;;;;25,4;14,2;19,8;;
1925;7;;;;29,7;16,1;22,9;;
1925;8;;;;32,8;18,5;25,6;;
1925;9;;;;27,5;14,5;21;;
1925;10;;;;21,2;10,8;16;;
1925;11;;;;14,3;5,4;9,8;;
1925;12;;;;13,6;6;9,8;;
1926;1;;;;14,3;3,6;9;;
1926;2;;;;16,5;6,4;11,4;;
1926;3;;;;18,2;6,7;12,4;;
1926;4;;;;18,4;7,7;13;;
1926;5;;;;21,3;9,7;15,5;;
1926;6;;;;28,4;14,6;21,5;;
1926;7;;;;33,1;18,2;25,6;;
1926;8;;;;33,7;19;26,4;;
1926;9;;;;30,8;16,8;23,8;;
1926;10;;;;22,9;12,1;17,5;;
1926;11;;;;13,1;4,2;8,6;;
1926;12;;;;11,5;0,8;6,2;;
1927;1;;;;11,2;1,8;6,5;;
1927;2;;;;12,9;2,3;7,6;;
1927;3;;;;14,9;4,5;9,7;;
1927;4;;;;21,5;8,3;14,9;;
1927;5;;;;23,8;11,8;17,8;;
1927;6;;;;29,1;15,5;22,3;;
1927;7;;;;30,8;16,3;23,6;;
1927;8;;;;33,1;18,1;25,6;;
1927;9;;;;28;14,8;21,4;;
1927;10;;;;23,1;12;17,6;;
1927;11;;;;15,2;5,1;10,2;;
1927;12;;;;11,7;4,8;8,2;;
1928;1;;;;11;1,3;6,2;;
1928;2;;;;16,1;3,9;10;;
1928;3;;;;14,9;5,4;10,2;;
1928;4;;;;17,3;7,2;12,2;;
1928;5;;;;19,8;9,3;14,6;;
1928;6;;;;29,9;15,8;22,8;;
1928;7;;;;33,6;19,4;26,5;;
1928;8;;;;33,3;18,8;26;;
1928;9;;;;28;16,4;22,2;;
1928;10;;;;20,8;10,7;15,8;;
1928;11;;;;15,5;4;9,8;;
1928;12;;;;12,6;2,4;7,5;;
1929;1;;;;11,2;2,3;6,8;;
1929;2;;;;12,7;3,9;8,3;;
1929;3;;;;16,4;5,4;10,9;;
1929;4;;;;20,1;8,2;14,2;;
1929;5;;;;21,3;9,7;15,5;;
1929;6;;;;28,5;15,2;21,8;;
1929;7;;;;32,2;17,6;24,9;;
1929;8;;;;31,6;18;24,8;;
1929;9;;;;26,3;14,5;20,4;;
1929;10;;;;20,8;9,9;15,4;;
1929;11;;;;15,1;5,1;10,1;;
1929;12;;;;13,9;3,8;8,8;;
1930;1;;;;11,8;3,4;7,6;;
1930;2;;;;9,8;1,8;5,8;;
1930;3;;;;17,5;6;11,8;;
1930;4;;;;14,3;5,9;10,1;;
1930;5;;;;23,2;11,1;17,2;;
1930;6;;;;24,7;14;19,4;;
1930;7;;;;30,4;16,6;23,5;;
1930;8;;;;33,1;19;26;;
1930;9;;;;28,8;15,5;22,2;;
1930;10;;;;25,7;12,1;18,9;;
1930;11;;;;18,8;7;12,9;;
1930;12;;;;12,3;3,5;7,9;;
1931;1;;;;12,2;2,1;7,2;;
1931;2;;;;13,7;1;7,4;;
1931;3;;;;17,2;6,7;12;;
1931;4;;;;20,5;7,2;13,8;;
1931;5;;;;24,1;9,5;16,8;;
1931;6;;;;31,9;15;23,4;;
1931;7;;;;33,9;17,1;25,5;;
1931;8;;;;32,9;15,9;24,4;;
1931;9;;;;26,9;12,9;19,9;;
1931;10;;;;22,1;10,2;16,2;;
1935;1;;;;11,5;-0,5;5,5;;
1935;2;;;;14,4;1,5;8;;
1935;3;;;;19,2;4,8;12;;
1935;4;;;;22,5;6,8;14,6;;
1935;5;;;;19,9;7,7;13,8;;
1935;6;;;;30,6;13,2;21,9;;
1935;7;;;;36,6;18,6;27,6;;
1935;8;;;;33,5;16,7;25,1;;
1935;9;;;;32,7;15,5;24,1;;
1935;10;;;;22,1;8,5;15,3;;
1935;11;;;;17;6;11,5;;
1935;12;;;;13,1;4,1;8,6;;
1938;1;;;;13,5;0,9;7,2;;
1938;2;;;;15;0,5;7,8;;
1938;3;;;;19,4;2,9;11,2;;
1938;4;;;;19,9;6,7;13,3;;
1938;5;;;;22,4;8,8;15,6;;
1938;6;;;;32,6;16;24,3;;
1938;7;;;;35,2;16,5;25,8;;
1938;8;;;;33,9;16;25;;
1938;9;;;;27,1;12,4;19,8;;
1938;12;;;;12,2;2,1;7,2;;
1939;1;;;;13,7;3,9;8,8;;
1939;2;;;;15,1;3,1;9,1;;
1939;3;;;;17,8;2,7;10,2;;
1939;4;;;;22,1;5,2;13,6;;
1939;5;;;;22,5;7,7;15,1;;
1939;6;;;;26,5;12,2;19,4;;
1939;8;;;;32;15,2;23,6;;
1939;9;;;;28,7;13,9;21,3;;
1939;10;;;;21,5;9,3;15,4;;
1939;11;;;;18,5;4,3;11,4;;
1939;12;;;;13,7;2,8;8,2;;
1940;1;;;;11,4;2,6;7;;
1940;2;;;;17,1;5;11;;
1940;3;;;;20,4;6,4;13,4;;
1940;4;;;;21,6;6,6;14,1;;
1940;5;;;;24,2;9,1;16,6;;
1940;6;;;;26,7;12,6;19,6;;
1940;7;;;;33,4;16;24,7;;
1940;8;;;;33,9;16,6;25,2;;
1940;9;;;;29,6;13,4;21,5;;
1940;10;;;;20,4;8,6;14,5;;
1940;11;;;;17;4,6;10,8;;
1940;12;;;;12,9;0;6,4;;
1941;1;;;;10;-3,1;3,4;;
1941;2;;;;13,3;3,7;8,5;;
1941;3;;;;16;5,2;10,6;;
1941;4;;;;17,4;6,9;12,2;;
1941;5;;;;20,7;7,8;14,2;;
1941;6;;;;28,5;12,9;20,7;;
1941;7;;;;32,4;15,4;23,9;;
1941;8;;;;33,5;16,4;25;;
1941;9;;;;27,9;13,9;20,9;;
1941;10;;;;25,1;8,9;17;;
1941;11;;;;16;4,8;10,4;;
1941;12;;;;13,7;0,7;7,2;;
1942;1;;;;10,6;-0,1;5,2;;
1942;2;;;;13,4;0;6,7;;
1942;3;;;;17;4,6;10,8;;
1942;4;;;;19,8;6;12,9;;
1942;5;;;;25,1;10,1;17,6;;
1942;6;;;;30,3;13,6;22;;
1942;7;;;;35,1;16,9;26;;
1942;8;;;;34;16,4;25,2;;
1942;9;;;;28;13,4;20,7;;
1942;10;;;;24;10,1;17;;
1942;11;;;;16;5,8;10,9;;
1942;12;;;;12,9;2;7,4;;
1943;1;;;;12,9;1,6;7,2;;
1943;2;;;;14,4;1,6;8;;
1943;3;;;;16,2;3,8;10;;
1943;4;;;;22,7;7,7;15,2;;
1943;5;;;;26,3;10;18,2;;
1943;6;;;;32,7;14,7;23,7;;
1943;7;;;;32,6;15,8;24,2;;
1943;8;;;;34,9;16,9;25,9;;
1943;9;;;;28,4;13;20,7;;
1943;10;;;;22,2;7,9;15;;
1943;11;;;;15,3;1,8;8,6;;
1943;12;;;;10,5;2,7;6,6;;
1944;1;;;;14,1;-0,9;6,6;;
1944;2;;;;13;-1,1;6;;
1944;3;;;;17,4;3,6;10,5;;
1944;4;;;;21,3;7,4;14,4;;
1944;5;;;;25;9,7;17,4;;
1944;6;;;;28,6;13,2;20,9;;
1944;7;;;;34,7;15,6;25,2;;
1944;8;;;;33,4;16,6;25;;
1944;9;;;;28,1;14,5;21,3;;
1944;10;;;;20,6;6,8;13,7;;
1944;11;;;;17,5;3,9;10,7;;
1944;12;;;;12,2;0,3;6,2;;
1945;1;;;;8,5;-1,1;3,7;;
1945;2;;;;17,4;1,1;9,2;;
1945;3;;;;20,1;3,3;11,7;;
1945;4;;;;26,4;9,2;17,8;;
1945;5;;;;27,6;10,4;19;;
1945;6;;;;32,3;15,2;23,8;;
1945;7;;;;35,1;16,7;25,9;;
1945;8;;;;32,6;15,5;24;;
1945;9;;;;32,5;15,1;23,8;;
1945;10;;;;24,4;9,4;16,9;;
1945;11;;;;17,4;7,4;12,4;;
1945;12;;;;13,2;2,9;8;;
1946;1;;;;10,2;-0,4;4,9;;
1946;2;;;;16,5;1;8,8;;
1946;3;;;;15,8;4,2;10;;
1946;4;;;;17,8;7;12,4;;
1946;5;;;;19,3;8,1;13,7;;
1946;6;;;;30,7;13,1;21,9;;
1946;7;;;;36,1;16,8;26,4;;
1946;8;;;;34,9;16,4;25,6;;
1946;9;;;;30,8;13,6;22,2;;
1946;10;;;;24,2;10,5;17,4;;
1946;11;;;;15,3;6,1;10,7;;
1946;12;;;;10,4;0,1;5,2;;
1947;1;;;;11,2;0,7;6;;
1947;2;;;;12,1;4,7;8,4;;
1947;3;;;;18,6;6,3;12,4;;
1947;4;;;;22,9;7,3;15,1;;
1947;5;;;;23,9;9,7;16,8;;
1947;6;;;;33;15,6;24,3;;
1947;7;;;;34,7;17,4;26;;
1947;8;;;;33,6;16,8;25,2;;
1947;9;;;;29,1;13,7;21,4;;
1947;10;;;;23,4;10,3;16,8;;
1947;11;;;;19,5;6,2;12,8;;
1947;12;;;;11,3;1,4;6,4;;
1948;1;;;;12,4;3,4;7,9;;
1948;2;;;;16,9;4,9;10,9;;
1948;3;;;;20,4;6;13,2;;
1948;4;;;;19,7;7,3;13,5;;
1948;5;;;;21,7;10,2;16;;
1948;6;;;;31;15,2;23,1;;
1948;7;;;;33,9;16,9;25,4;;
1948;8;;;;34,1;16,7;25,4;;
1948;9;;;;30,6;13,9;22,2;;
1948;10;;;;22,3;9,6;16;;
1948;11;;;;20,2;5;12,6;;
1948;12;;;;14,8;4,1;9,4;;
1949;1;;;;13,1;0,9;7;;
1949;2;;;;15,4;1,7;8,6;;
1949;3;;;;17,2;4;10,6;;
1949;4;;;;22,7;8,7;15,7;;
1949;5;;;;23,2;9,5;16,4;;
1949;6;;;;30,7;14,8;22,8;;
1949;7;;;;35,6;17,9;26,8;;
1949;8;;;;35,1;18,7;26,9;;
1949;9;;;;28,3;14,4;21,4;;
1949;10;;;;24,5;10,3;17,4;;
1949;11;;;;16,6;6,3;11,4;;
1949;12;;;;11,9;3,4;7,6;;
1950;1;;;;11,5;1,8;6,6;;
1950;2;;;;14,9;2,5;8,7;;
1950;3;;;;17,9;3,9;10,9;;
1950;4;;;;20,2;5,1;12,6;;
1950;5;;;;23,7;7,9;15,8;;
1950;6;;;;30,9;12,4;21,6;;
1950;7;;;;36,3;15,7;26;;
1950;8;;;;34;15,8;24,9;;
1950;9;;;;29,3;12,7;21;;
1950;10;;;;22,3;8,1;15,2;;
1950;11;;;;18,4;4,3;11,4;;
1950;12;;;;9,4;0,1;4,8;;
1951;1;61,3;18,6;14;10,7;1,1;5,9;18,3;-3,2
1951;2;80,7;16;14;11,4;2,2;6,8;16,7;-1,5
1951;3;44;11,5;13;17;5;11;24,7;0
1951;4;56;25,2;7;20,1;6,2;13,2;26;0,8
1951;5;44,1;12,4;12;20,4;7,2;13,8;31;0,7
1951;6;1,4;0,8;3;30,7;13,8;22,2;37;8,3
1951;7;1,3;1,3;3;34,2;16,6;25,4;39,7;14
1951;8;1,2;1,2;1;33,4;16,3;24,8;36,4;12,5
1951;9;73,3;22;8;27,9;14,1;21;36,7;10,6
1951;10;40,3;13,5;10;19,5;7,7;13,6;25,5;-0,5
1951;11;87,9;24,8;13;15,1;5,7;10,4;19,4;1,5
1951;12;18,6;7;9;13,1;3,2;8,1;16,4;0
1952;1;34,8;9,5;11;9,3;-0,2;4,5;13,2;-4,6
1952;2;15,8;7,4;6;13,1;1,2;7,2;19,5;-3,5
1952;3;26,9;9,4;8;19,8;6,1;13;28;1,5
1952;4;92,9;37;15;18,8;6,1;12,4;28,2;-0,3
1952;5;87,4;18,5;14;22,4;9,6;16;29;6,8
1952;6;2,2;2,2;4;31,4;14,5;22,9;38,9;10,8
1952;7;28,9;27,2;5;34,4;17,3;25,8;40,5;11,8
1952;8;29,1;27,1;4;32,8;16,4;24,6;37,8;12,4
1952;9;14,4;5,4;6;26,9;12;19,4;31,9;8,3
1952;10;33,8;27,6;8;24;10,3;17,2;31,6;5,7
1952;11;44,2;13,4;10;16,9;5,3;11,1;22;-1,7
1952;12;65;15,2;13;11,3;1,9;6,6;18,7;-3
1953;1;29,6;7,8;10;10,4;-0,3;5,1;17;-3,6
1953;2;21,4;10,5;8;12,4;0,7;6,5;17,3;-3,6
1953;3;17,5;11,5;9;16,6;2,5;9,6;24,5;-1,7
1953;4;9,9;2,5;10;21,4;6,9;14,2;26,4;1,9
1953;5;7,7;3,5;3;29,1;11,4;20,2;37,5;3,3
1953;6;3,6;2,3;6;29,4;13,1;21,2;36;5,6
1953;7;0,8;0,5;5;35,5;17,5;26,5;40,2;10,7
1953;8;0;0;0;35,2;18,1;26,7;38,1;14
1953;9;3,6;1,4;7;29;13;21;34;6,5
1953;10;60,2;19,3;11;20;8,5;14,3;26,5;2,5
1953;11;12;6,8;5;17,8;5,8;11,8;22,5;2,7
1953;12;64,3;27,7;7;13,8;4,1;9;19,5;-0,5
1954;1;14,8;7;7;10;-0,6;4,7;16,6;-6
1954;2;20,4;10,2;8;10,7;-1,1;4,8;19,3;-13,4
1954;3;89,5;11,3;18;15;4;9,5;22,3;-1,2
1954;4;47,3;21,6;12;17,6;4,9;11,2;24;1,3
1954;5;2;1;2;25;9,6;17,3;30,8;3,5
1954;6;2,9;2,9;1;29,1;12,7;20,9;36;8,5
1954;7;1,6;1,6;2;33,5;15,9;24,7;38,2;10,6
1954;8;0,1;0,1;1;32,9;15,4;24,2;38;11,4
1954;9;0,5;0,5;1;31,3;14,2;22,8;37,5;10,5
1954;10;8,1;4,5;4;25,3;10,6;18;32,6;8
1954;11;71,6;27,8;9;18,9;7,5;13,2;27,4;1,2
1954;12;41,3;14,8;8;14,4;2,7;8,6;18;-0,4
1955;1;57,1;14,6;18;13,5;5,7;9,6;17,7;2
1955;2;87,2;16,4;13;13,9;3,6;8,8;23,5;-1,8
1955;3;34,2;11,1;10;15,3;3,4;9,4;28,4;-5,3
1955;4;16;11,7;9;22,2;7,3;14,7;26,2;4
1955;5;4,6;4,6;1;27,7;12,3;20;32,2;8,3
1955;6;11,7;6,4;9;29,5;14,9;22,2;36,9;10,3
1955;7;3,7;3,2;2;34,5;18;26,2;38,8;14,5
1955;8;12,6;12,6;4;33,2;17,8;25,5;37;14,5
1955;9;8,8;5,6;2;29,4;14,9;22,1;33,2;12,2
1955;10;85,8;20;12;22,5;10,2;16,4;31;3,6
1955;11;26,3;9,3;13;17;7,7;12,4;22;1,5
1955;12;47,2;15,2;13;14,7;3,8;9,2;19,8;-1
1956;1;42;12,1;6;12,8;1,5;7,1;19,4;-4
1956;2;21,1;8,1;8;9,1;-2,5;3,3;15,8;-7,6
1956;3;72,7;9,3;15;16,8;3,8;10,3;24,6;-1
1956;4;101,9;39,6;16;17,4;5,7;11,5;24,6;1,5
1956;5;9,5;3,9;5;23,8;7,6;15,7;30;2
1956;6;0,1;0,1;2;29,4;12,6;21;35,3;8,2
1956;7;12,5;12,5;1;32,5;15;23,8;38,2;11
1956;8;7,6;7,6;1;32,8;16,2;24,5;38;10,6
1956;9;35,6;33,3;7;28,3;12,9;20,6;37,6;7,4
1956;10;10,9;8,5;6;23,5;9,3;16,4;29,8;1,4
1956;11;36,2;17,1;8;14;2,1;8;20;-1
1956;12;27,5;10,9;7;12,8;-0,7;6;19,6;-4,6
1957;1;52,9;42,2;7;10,5;-2,3;4,1;18,5;-11
1957;2;14,9;7;5;17,2;2,4;9,8;25,8;-2,5
1957;3;36,7;12,9;9;19,6;5;12,3;26,5;2
1957;4;68,2;19,1;16;17,6;5,2;11,4;23;0,8
1957;5;64,3;27;10;21,6;9;15,3;28,5;4,6
1957;6;7,5;6,9;4;26,6;11,3;19;33,8;6,8
1957;7;0;0;0;34,2;16,6;25,4;36,8;12,5
1957;8;0,9;0,9;1;34;18;26;38,8;14
1957;9;3,8;3,2;6;30,7;15,5;23,1;35,2;12,3
1957;10;46,7;20,7;11;21,1;8,8;14,9;27;4,4
1957;11;57,7;27;9;15,7;3,8;9,7;21;0,4
1957;12;47,5;35,6;4;11,3;0,1;5,7;15,7;-3,2
1958;1;35,2;14,3;8;12,8;1,8;7,3;20,8;-3,4
1958;2;17,2;12,3;8;17,2;4,4;10,8;25,3;-3,5
1958;3;49,3;12,8;13;16,5;4,2;10,4;24;-2
1958;4;65,1;44,8;9;18,4;5,8;12,1;26,5;-0,2
1958;5;14,9;9,2;5;25,4;10,3;17,8;33,4;2,5
1958;6;9,5;4,4;3;28,1;12,8;20,5;33;7,5
1958;7;0;0;0;33,8;15,7;24,7;40,2;10,2
1958;8;0,2;0,2;1;33;16,9;25;40;10,9
1958;9;0,3;0,3;4;32;15,8;23,8;37;13
1958;10;31,9;19;4;22,3;8,8;15,6;29,5;4
1958;11;8,7;7,9;4;15,9;4,2;10,1;22,4;-0,1
1958;12;158,4;37,5;20;12,5;3,8;8,2;18,6;-2,2
1959;1;36,6;10,6;10;13,5;2,6;8,1;23,4;-3,4
1959;2;27,9;10,3;9;12,7;0,7;6,7;16,2;-2
1959;3;24,6;5;17;16,2;5;10,6;20,8;-0,5
1959;4;33,5;29;8;19,2;5,5;12,4;24,4;2,3
1959;5;120;47;16;20,6;9;14,8;28;3
1959;6;0;0;0;28,9;12,7;20,8;33,7;8,3
1959;7;6,6;6,6;6;34,2;17,6;25,9;39,6;13,4
1959;8;10,6;10,1;3;32,5;16,3;24,4;37;13
1959;9;45,8;25;8;27;13,6;20,3;30,4;11
1959;10;49,7;12,7;10;20,7;9,6;15,2;25,8;1,6
1959;11;;;;15,7;5,1;10,4;20,6;1,4
1959;12;62,9;14,2;11;11,3;2,8;7,1;19;-1
1960;1;43;11,3;8;11,8;1,5;6,7;18;-4,2
1960;2;76;15;17;14,7;4,4;9,5;27,6;-2
1960;3;152,5;30;16;16,2;5,4;10,8;24,2;2
1960;4;46,3;21,1;8;19,8;6,3;13,1;25;1,6
1960;5;16,1;5,8;6;24,8;10,1;17,4;32,8;2
1960;6;37,7;18,3;7;29,4;15,1;22,2;36,6;10,5
1960;7;1,4;1,4;1;33;17;25;37,5;12,6
1960;8;0;0;0;33;16,3;24,6;38;12,4
1960;9;6,2;5,3;2;28,6;13,3;20,9;35,6;7,6
1960;10;62,4;24,9;9;18,9;9,2;14;24;4,5
1960;11;38,9;10;7;16;6,8;11,4;23;1
1960;12;64,7;24,7;17;9,1;1,2;5,1;14,4;-2,6
1961;1;34,7;17,2;8;10,3;1,5;5,9;14,5;-2,8
1961;2;0;0;0;18,3;2,9;10,6;22,4;0,4
1961;3;4,4;2,6;2;20;4,3;12,2;26;0,4
1961;4;23,3;18,5;6;21,3;7,9;14,6;27,6;3,5
1961;5;17,8;8;8;26,6;11,6;19,1;33,6;8,4
1961;6;6;7,4;4;29;14,1;21,5;37;8
1961;7;6;6;1;34,3;16,8;25,6;39;11
1961;8;0;0;0;33,6;17,2;25,4;36,6;14,4
1961;9;10,7;9;3;29,9;15;22,4;35,6;9,4
1961;10;21,5;14;4;21,8;8,6;15,2;29;3,4
1961;11;116,8;22,8;18;14,6;5,7;10,2;20,5;-1
1961;12;108,5;41,9;9;13,6;3,4;8,5;21,4;-1
1962;1;22,5;9,4;6;12,8;2,6;7,7;17,8;-1
1962;2;13,2;3,9;7;14;1,1;7,5;20;-2,6
1962;3;100,1;15,5;18;14,4;5;9,7;18,5;0
1962;4;48,9;22,6;11;19,4;6,9;13,2;24;3,6
1962;5;17,9;13,1;6;24,4;8,6;16,5;30,4;3,6
1962;6;1,3;0,7;4;28,8;12,5;20,6;35,4;7
1962;7;0;0;0;35;16,8;25,9;39;13
1962;8;0,1;0,1;1;35,3;17,3;26,3;41;14,6
1962;9;3,6;2;3;31;14,9;23;38;6
1962;10;106,8;53,6;7;23,2;11,4;17,3;31;5
1962;11;65,8;13,9;13;12,5;3,4;7,9;19;-2,4
1962;12;75,3;24;12;11;2,2;6,6;16;-2
1963;1;88,1;22,5;15;11,9;2,6;7,2;15,8;-4
1963;2;146,2;51,5;15;10,4;1,9;6,1;14,4;-5,4
1963;3;15,7;8,9;6;16,5;4,2;10,4;22;-1
1963;4;28,8;7,8;8;19,3;7;13,1;25,6;4
1963;5;42,8;16,1;13;23;9,8;16,4;29,6;5,8
1963;6;12,6;5,8;3;28;13,9;21;39,2;8
1963;7;0;0;0;33,7;16,9;25,3;38,6;12,6
1963;8;1;1;1;33,3;16,7;25;39,8;13
1963;9;75,6;48;7;26;13,4;19,7;32,4;11,4
1963;10;10,5;5,7;3;24,7;9,6;17,1;30;6,8
1963;11;65,7;17,6;11;16,1;7;11,6;22;1,4
